Sat1_mean;Sat2_mean;Sat3_mean;Sat4_mean;Age;Manager;LineManagerCount;qMan1;qEng1;qEng2;Talent2014;Custloyalty_mean;CustSatMean_mean;INvestMore_mean;Sex
3,00;3,13;3,50;2,50;38,00;0,00;0,00;;4,00;4,00;0,00;3,86;3,03;3,00;2,00
3,67;3,67;4,33;3,67;46,00;0,00;0,00;3,00;2,00;2,00;0,00;4,33;3,83;3,33;2,00
4,33;4,33;4,33;4,33;46,00;0,00;0,00;4,00;1,00;1,00;0,00;5,00;4,33;3,00;2,00
2,89;2,78;3,00;3,50;35,00;0,00;0,00;;;;1,00;3,00;2,94;2,80;2,00
4,00;3,50;3,00;4,00;46,00;0,00;0,00;3,00;4,00;2,00;0,00;4,50;3,63;2,75;2,00
2,50;2,50;2,50;1,00;48,00;0,00;0,00;4,00;4,00;3,00;0,00;2,00;2,13;3,00;2,00
3,00;3,33;3,00;2,67;39,00;0,00;0,00;;;;0,00;3,25;3,00;3,33;2,00
3,50;4,00;4,50;4,00;40,00;0,00;0,00;3,00;4,00;4,00;0,00;4,50;4,00;4,50;2,00
3,33;3,67;3,00;3,33;54,00;0,00;0,00;5,00;5,00;5,00;0,00;4,00;3,33;3,33;2,00
3,00;3,50;2,50;3,60;47,00;0,00;0,00;;;;0,00;3,00;3,14;2,60;2,00
4,00;4,00;3,00;3,67;43,00;1,00;4,00;;;;0,00;4,33;3,67;3,33;2,00
3,50;3,83;3,83;3,80;31,00;0,00;0,00;4,00;4,00;4,00;1,00;3,67;3,74;3,20;2,00
4,67;5,00;4,67;4,50;40,00;0,00;0,00;4,00;4,00;4,00;0,00;3,50;4,75;3,00;2,00
4,50;4,00;4,00;4,25;52,00;1,00;16,00;;;;1,00;4,50;4,19;3,25;2,00
4,00;5,00;5,00;4,00;38,00;0,00;0,00;1,00;4,00;3,00;0,00;5,00;4,50;3,00;2,00
3,43;3,71;2,86;3,25;53,00;0,00;0,00;4,00;;3,00;0,00;3,00;3,35;2,00;2,00
2,67;4,50;2,33;4,00;29,00;0,00;0,00;;;;0,00;3,33;3,00;3,00;2,00
3,33;3,33;3,00;3,00;26,00;0,00;0,00;3,00;3,00;2,00;0,00;4,00;3,17;2,00;2,00
4,00;3,00;3,00;3,00;51,00;0,00;0,00;;;;0,00;4,00;3,25;3,00;2,00
3,00;3,50;2,50;3,50;49,00;0,00;0,00;3,00;4,00;3,00;0,00;4,50;3,13;3,00;1,00
5,00;4,50;4,50;4,50;31,00;0,00;0,00;5,00;4,00;5,00;0,00;5,00;4,63;3,50;2,00
3,82;4,36;4,09;3,80;36,00;0,00;0,00;5,00;4,00;5,00;0,00;4,70;4,03;3,22;1,00
4,00;4,00;3,00;4,00;50,00;1,00;6,00;4,00;5,00;3,00;0,00;4,00;3,75;4,00;2,00
4,00;4,00;3,00;4,00;42,00;0,00;0,00;;;;0,00;5,00;3,75;4,00;2,00
3,40;3,83;3,50;3,20;28,00;0,00;0,00;;;;0,00;3,50;3,54;3,20;2,00
3,50;4,25;3,50;3,67;44,00;1,00;4,00;3,00;4,00;4,00;0,00;4,67;3,73;2,33;2,00
;1,00;;;39,00;1,00;5,00;;;;0,00;2,00;1,00;;2,00
3,80;4,00;3,80;3,50;53,00;0,00;0,00;4,00;4,00;3,00;0,00;4,00;3,65;2,80;2,00
3,50;4,25;3,50;3,75;27,00;0,00;0,00;;;;0,00;4,25;3,75;3,00;1,00
1,00;2,00;3,00;;47,00;0,00;0,00;4,00;5,00;4,00;0,00;3,00;2,00;;2,00
1,00;1,00;3,00;3,00;;;;;;;;1,00;2,00;2,00;
2,50;3,50;3,00;3,00;33,00;0,00;0,00;5,00;4,00;4,00;0,00;3,00;3,00;2,00;2,00
3,50;4,07;3,14;3,50;33,00;0,00;0,00;5,00;4,00;4,00;0,00;3,50;3,58;2,78;2,00
4,00;4,00;3,00;4,50;57,00;0,00;0,00;;;;0,00;4,00;3,88;2,00;2,00
3,40;4,50;4,20;3,80;49,00;0,00;0,00;4,00;3,00;4,00;0,00;3,60;3,97;3,20;1,00
3,25;3,00;3,25;4,00;50,00;0,00;0,00;4,00;2,00;3,00;0,00;3,67;3,19;3,33;2,00
3,00;3,33;4,00;3,33;35,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;3,42;2,67;2,00
3,00;2,00;2,00;3,00;32,00;0,00;0,00;5,00;5,00;5,00;0,00;4,00;2,50;2,00;2,00
3,67;4,33;3,33;3,33;36,00;0,00;0,00;;;;0,00;3,33;3,67;2,33;1,00
3,67;3,67;3,67;3,67;32,00;0,00;0,00;;;;0,00;4,00;3,67;3,00;1,00
3,80;4,00;4,00;4,00;36,00;0,00;0,00;5,00;4,00;4,00;1,00;4,00;3,95;3,20;2,00
2,00;2,00;1,67;2,00;33,00;0,00;0,00;4,00;2,00;3,00;0,00;5,00;1,86;3,00;2,00
4,33;4,33;4,33;4,50;32,00;0,00;0,00;;;;0,00;4,33;4,33;3,33;2,00
3,40;3,80;3,00;3,60;45,00;0,00;0,00;3,00;4,00;4,00;0,00;4,00;3,50;3,00;1,00
3,50;3,82;3,83;3,42;44,00;0,00;0,00;5,00;5,00;5,00;0,00;4,09;3,63;3,09;2,00
3,00;4,00;2,00;3,00;43,00;0,00;0,00;5,00;5,00;4,00;0,00;3,00;3,00;3,00;2,00
2,00;3,00;2,00;2,33;45,00;0,00;0,00;;;;0,00;2,67;2,33;3,00;2,00
3,25;3,25;3,25;3,75;27,00;0,00;0,00;5,00;;4,00;0,00;4,00;3,38;3,00;1,00
1,50;3,50;3,50;3,00;29,00;0,00;0,00;3,00;5,00;4,00;0,00;3,50;2,88;4,00;2,00
3,50;3,75;4,00;3,50;45,00;0,00;0,00;;;;0,00;5,00;3,69;3,00;1,00
2,75;3,25;3,50;2,25;28,00;0,00;0,00;5,00;4,00;4,00;0,00;4,00;2,94;3,00;2,00
3,36;3,92;3,69;3,62;47,00;0,00;0,00;;;;0,00;3,86;3,61;2,73;2,00
2,75;3,00;2,67;3,00;37,00;0,00;0,00;;;;0,00;3,75;2,94;2,67;2,00
3,86;4,17;3,71;3,88;35,00;0,00;0,00;;;;0,00;3,63;3,78;2,83;2,00
3,67;3,67;3,67;4,00;47,00;0,00;0,00;;;;0,00;3,67;3,75;3,33;2,00
3,00;3,56;2,89;3,11;49,00;0,00;0,00;4,00;5,00;5,00;0,00;4,33;3,14;3,11;2,00
3,67;4,33;4,00;3,67;;;;;;;;4,67;3,92;3,33;
4,00;4,33;4,00;4,00;47,00;0,00;0,00;;;;0,00;4,00;4,08;3,00;2,00
4,00;4,00;3,00;3,00;29,00;0,00;0,00;4,00;4,00;4,00;0,00;4,50;3,50;3,00;2,00
4,50;4,50;4,50;4,00;31,00;0,00;0,00;4,00;4,00;4,00;0,00;4,50;4,38;3,00;1,00
3,33;3,45;3,67;3,50;52,00;0,00;0,00;4,00;3,00;3,00;0,00;3,50;3,48;2,92;2,00
3,00;4,00;5,00;5,00;41,00;1,00;11,00;;;;0,00;2,00;4,25;3,00;2,00
3,00;2,75;3,00;3,25;39,00;0,00;0,00;;;;0,00;4,25;3,00;2,75;2,00
2,75;3,00;3,00;3,00;46,00;0,00;0,00;4,00;4,00;4,00;0,00;3,75;2,92;3,00;2,00
2,50;4,00;2,50;5,00;34,00;0,00;0,00;;;;0,00;3,00;2,88;3,50;2,00
3,50;3,86;4,50;3,83;51,00;0,00;0,00;;;;0,00;4,17;3,93;2,83;2,00
4,00;4,25;4,00;3,75;35,00;0,00;0,00;;;;0,00;4,50;4,00;2,50;2,00
4,50;5,00;4,50;4,50;47,00;1,00;4,00;4,00;3,00;3,00;0,00;5,00;4,63;3,50;2,00
3,50;4,50;4,00;3,50;34,00;0,00;0,00;3,00;3,00;4,00;0,00;3,50;3,88;1,00;2,00
2,00;4,00;4,00;2,00;36,00;0,00;0,00;5,00;5,00;5,00;0,00;4,00;3,00;3,00;2,00
3,00;2,67;2,67;2,50;44,00;0,00;0,00;;;;0,00;3,33;2,78;3,67;2,00
3,00;3,57;3,14;3,33;40,00;0,00;0,00;;;;0,00;3,71;3,21;3,40;2,00
3,50;3,33;3,33;4,00;32,00;0,00;0,00;1,00;4,00;5,00;0,00;5,00;3,42;2,75;2,00
2,50;3,33;2,83;3,00;27,00;0,00;0,00;3,00;4,00;4,00;0,00;3,00;2,92;2,50;1,00
3,33;3,50;4,00;4,00;27,00;0,00;0,00;;;;0,00;4,33;3,64;3,00;1,00
2,25;3,25;2,50;3,00;35,00;0,00;0,00;2,00;4,00;2,00;0,00;3,75;2,75;2,25;2,00
3,80;4,00;3,80;4,00;41,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;3,90;3,00;2,00
4,00;4,00;4,00;;41,00;1,00;5,00;4,00;5,00;4,00;0,00;;4,00;;1,00
4,50;4,50;4,00;4,50;46,00;0,00;0,00;5,00;4,00;4,00;0,00;4,50;4,38;4,00;2,00
3,00;3,00;4,00;4,00;36,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;3,50;4,00;2,00
3,50;3,50;3,38;3,40;30,00;0,00;0,00;4,00;4,00;3,00;0,00;3,60;3,47;3,20;2,00
3,00;4,00;3,00;3,00;41,00;1,00;1,00;5,00;4,00;3,00;0,00;5,00;3,25;3,00;2,00
3,40;3,80;3,80;3,75;41,00;0,00;0,00;5,00;5,00;5,00;0,00;3,80;3,65;3,00;2,00
2,67;3,00;2,67;3,33;36,00;0,00;0,00;;;;0,00;3,00;2,92;2,33;2,00
3,00;3,00;3,00;3,00;42,00;0,00;0,00;;;;0,00;4,00;3,00;4,00;2,00
3,50;3,50;3,50;5,00;44,00;0,00;0,00;4,00;5,00;4,00;0,00;4,50;3,88;3,00;2,00
3,00;3,29;2,75;3,57;35,00;0,00;0,00;5,00;;4,00;0,00;3,63;2,94;2,86;1,00
3,50;4,50;3,00;3,50;38,00;0,00;0,00;4,00;4,00;2,00;1,00;3,00;3,63;2,50;2,00
;;1,00;3,00;64,00;1,00;8,00;;;;0,00;3,00;2,00;1,00;2,00
3,17;3,00;3,00;3,00;28,00;0,00;0,00;4,00;2,00;1,00;0,00;3,67;3,04;3,00;2,00
4,00;4,33;3,00;3,67;36,00;0,00;0,00;2,00;5,00;3,00;1,00;3,50;3,92;2,33;2,00
4,00;4,25;4,33;3,67;40,00;0,00;0,00;4,00;3,00;2,00;0,00;4,00;4,06;2,67;2,00
3,20;3,60;3,20;3,33;43,00;0,00;0,00;5,00;3,00;4,00;0,00;3,50;3,35;2,67;2,00
4,00;4,00;4,00;4,00;39,00;0,00;0,00;;;;0,00;4,00;4,00;3,00;2,00
3,57;3,57;3,43;3,71;40,00;0,00;0,00;4,00;5,00;5,00;1,00;4,00;3,57;2,50;2,00
2,83;3,17;2,83;2,83;31,00;0,00;0,00;;;;0,00;4,00;2,92;3,00;2,00
3,00;2,50;2,00;2,00;44,00;0,00;0,00;5,00;4,00;4,00;1,00;4,00;2,38;3,50;2,00
3,67;3,67;3,67;3,67;35,00;0,00;0,00;;;;0,00;3,33;3,67;2,50;2,00
3,00;4,00;4,00;4,00;36,00;1,00;5,00;5,00;4,00;3,00;1,00;4,00;3,75;4,00;1,00
4,00;4,50;4,50;4,00;27,00;0,00;0,00;;;;0,00;5,00;4,33;3,00;2,00
3,00;3,00;2,00;3,00;41,00;0,00;0,00;5,00;3,00;3,00;0,00;3,00;2,75;3,00;2,00
3,00;3,00;3,00;2,00;50,00;0,00;0,00;;;;0,00;5,00;2,75;3,00;2,00
1,00;3,00;2,00;2,00;41,00;0,00;0,00;;;;0,00;2,00;2,00;3,00;2,00
3,33;4,00;4,33;3,67;54,00;1,00;2,00;4,00;4,00;4,00;0,00;3,67;3,83;3,33;2,00
3,14;3,33;2,86;3,33;49,00;0,00;0,00;4,00;;4,00;0,00;3,57;3,14;2,71;2,00
4,67;4,67;4,33;4,33;48,00;0,00;0,00;;;;0,00;4,00;4,50;3,00;1,00
4,33;4,33;4,00;4,00;49,00;0,00;0,00;3,00;3,00;3,00;0,00;4,00;4,22;3,00;1,00
3,40;4,20;3,75;3,50;51,00;0,00;0,00;;;;0,00;3,33;3,75;2,33;2,00
3,25;3,50;3,50;3,29;34,00;0,00;0,00;;;;0,00;4,29;3,38;3,25;2,00
5,00;5,00;5,00;5,00;42,00;0,00;0,00;4,00;5,00;3,00;0,00;4,00;5,00;3,00;2,00
4,50;4,50;4,00;4,50;43,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;4,38;4,00;2,00
3,67;3,50;4,00;4,00;37,00;0,00;0,00;5,00;4,00;3,00;0,00;4,00;3,44;3,50;2,00
3,00;3,00;4,00;4,00;30,00;0,00;0,00;3,00;4,00;3,00;0,00;4,00;3,50;3,00;2,00
3,00;3,83;3,60;3,17;34,00;0,00;0,00;;;;0,00;3,83;3,46;3,00;2,00
3,60;3,40;3,20;3,00;45,00;0,00;0,00;1,00;4,00;4,00;0,00;3,80;3,30;3,60;1,00
2,60;2,67;3,20;2,67;36,00;0,00;0,00;4,00;3,00;3,00;0,00;4,00;2,79;3,17;2,00
3,00;5,00;1,00;5,00;49,00;0,00;0,00;4,00;4,00;4,00;0,00;2,00;3,50;1,00;1,00
3,67;3,83;3,83;4,00;51,00;0,00;0,00;;;;0,00;4,00;3,83;2,83;1,00
4,50;4,50;4,00;;39,00;0,00;0,00;4,00;3,00;3,00;1,00;5,00;4,33;;2,00
3,00;3,80;3,40;3,00;41,00;0,00;0,00;3,00;3,00;4,00;0,00;3,80;3,30;2,80;2,00
2,33;3,00;3,33;2,33;30,00;0,00;0,00;4,00;3,00;3,00;0,00;3,33;2,75;3,00;2,00
;4,00;2,00;3,00;35,00;0,00;0,00;4,00;4,00;4,00;0,00;3,67;3,00;2,75;1,00
3,42;3,92;3,36;3,78;31,00;0,00;0,00;5,00;5,00;5,00;0,00;3,40;3,66;3,33;2,00
4,40;4,20;4,20;3,75;49,00;0,00;0,00;3,00;4,00;3,00;0,00;4,25;4,20;3,75;2,00
3,00;3,50;2,50;2,50;34,00;0,00;0,00;4,00;3,00;3,00;0,00;3,00;2,88;2,00;2,00
3,00;3,40;2,60;3,00;36,00;0,00;0,00;5,00;5,00;4,00;0,00;3,40;3,00;3,40;2,00
3,50;4,00;4,00;4,50;40,00;0,00;0,00;;;;0,00;4,50;4,00;3,50;2,00
2,50;3,50;3,00;3,00;36,00;0,00;0,00;5,00;3,00;3,00;0,00;4,50;3,00;3,00;2,00
3,00;4,00;3,50;3,00;36,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;3,38;2,50;1,00
2,80;3,25;3,00;2,60;28,00;0,00;0,00;;;;0,00;4,25;2,82;3,33;2,00
2,25;2,25;2,50;2,25;39,00;0,00;0,00;4,00;4,00;4,00;0,00;3,75;2,31;2,00;2,00
2,00;3,00;2,00;4,00;30,00;0,00;0,00;;;;0,00;4,00;2,75;3,00;2,00
4,00;4,50;4,00;;44,00;0,00;0,00;5,00;4,00;4,00;0,00;;4,17;;2,00
3,50;4,00;3,63;3,67;38,00;0,00;0,00;5,00;4,00;4,00;0,00;3,33;3,66;3,17;2,00
4,33;4,67;4,00;4,33;46,00;0,00;0,00;5,00;5,00;5,00;0,00;4,00;4,33;2,50;2,00
3,67;3,83;3,33;3,40;31,00;0,00;0,00;;;;0,00;2,75;3,58;2,80;2,00
3,50;4,50;3,50;4,00;46,00;0,00;0,00;5,00;4,00;4,00;0,00;3,00;3,88;3,00;2,00
3,00;4,00;2,00;4,00;38,00;0,00;0,00;5,00;4,00;4,00;0,00;2,50;3,63;2,00;2,00
3,00;3,00;3,00;3,00;50,00;0,00;0,00;5,00;5,00;4,00;0,00;3,00;3,00;2,00;2,00
3,67;4,00;3,67;3,80;38,00;0,00;0,00;5,00;5,00;5,00;0,00;3,80;3,72;3,20;2,00
4,00;4,00;4,00;4,00;39,00;0,00;0,00;5,00;5,00;2,00;0,00;4,00;4,02;3,33;2,00
3,75;4,00;4,00;3,50;41,00;0,00;0,00;5,00;3,00;5,00;0,00;4,00;3,83;3,00;1,00
3,00;4,00;4,00;3,00;33,00;0,00;0,00;5,00;5,00;4,00;0,00;5,00;3,50;4,00;2,00
3,00;3,00;3,00;3,00;26,00;0,00;0,00;3,00;3,00;3,00;1,00;4,00;3,00;4,00;2,00
2,50;3,00;2,00;2,50;44,00;0,00;0,00;4,00;4,00;4,00;0,00;5,00;2,50;3,00;2,00
3,67;4,00;3,33;4,00;36,00;0,00;0,00;5,00;4,00;5,00;0,00;4,00;3,69;3,00;2,00
3,40;3,80;3,20;3,50;35,00;0,00;0,00;;;;0,00;3,63;3,45;3,00;2,00
3,11;3,20;2,80;3,33;32,00;0,00;0,00;;;;0,00;3,17;3,00;2,83;2,00
3,50;4,33;3,17;3,83;42,00;0,00;0,00;;;;0,00;3,83;3,71;3,17;2,00
3,50;3,50;3,25;3,67;30,00;0,00;0,00;3,00;4,00;3,00;0,00;2,67;3,54;3,00;2,00
3,00;4,00;5,00;4,00;49,00;1,00;8,00;;;;0,00;5,00;4,00;3,00;2,00
2,00;1,00;1,00;2,00;46,00;0,00;0,00;;;;0,00;2,00;1,50;1,00;2,00
1,00;3,00;1,00;2,00;25,00;0,00;0,00;4,00;3,00;3,00;0,00;1,00;1,75;1,00;2,00
4,00;4,00;3,50;4,00;50,00;0,00;0,00;;4,00;4,00;0,00;5,00;3,50;3,00;2,00
3,00;3,00;4,00;;27,00;0,00;0,00;5,00;4,00;4,00;0,00;4,00;3,33;;2,00
3,50;3,50;3,00;3,67;42,00;0,00;0,00;;;;0,00;4,17;3,42;3,17;1,00
3,60;3,60;3,00;3,50;26,00;0,00;0,00;;;;0,00;4,60;3,40;3,00;1,00
3,00;3,00;3,00;4,00;29,00;0,00;0,00;4,00;4,00;5,00;1,00;4,00;3,25;4,00;1,00
4,00;4,00;4,00;4,00;40,00;0,00;0,00;4,00;4,00;4,00;0,00;5,00;4,00;3,00;2,00
3,20;3,60;3,60;3,00;32,00;0,00;0,00;5,00;4,00;4,00;0,00;4,60;3,35;3,80;2,00
3,00;2,75;2,75;2,25;46,00;0,00;0,00;3,00;2,00;4,00;0,00;3,75;2,69;3,25;2,00
3,00;3,00;3,00;3,00;48,00;0,00;0,00;5,00;4,00;4,00;0,00;5,00;3,00;4,00;2,00
4,00;4,25;4,25;5,00;44,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;4,17;3,50;2,00
3,00;4,00;4,00;3,00;28,00;0,00;0,00;4,00;4,00;4,00;0,00;5,00;3,50;;2,00
4,33;4,33;4,33;4,33;43,00;0,00;0,00;4,00;3,00;4,00;0,00;3,33;4,33;3,33;2,00
;3,00;3,00;3,50;25,00;0,00;0,00;;;;0,00;3,50;3,17;3,00;1,00
3,67;3,67;4,00;4,00;43,00;0,00;0,00;;4,00;4,00;0,00;4,67;3,83;3,00;2,00
4,50;5,00;5,00;5,00;42,00;0,00;0,00;4,00;5,00;5,00;0,00;5,00;4,88;4,50;2,00
4,00;4,00;4,00;3,00;39,00;0,00;0,00;;;;0,00;4,00;3,75;3,00;2,00
4,00;4,00;3,00;4,00;45,00;0,00;0,00;5,00;3,00;4,00;0,00;3,00;3,75;1,00;1,00
3,67;4,00;3,40;3,67;33,00;0,00;0,00;3,00;4,00;5,00;0,00;3,83;3,71;2,71;2,00
4,00;5,00;5,00;5,00;41,00;0,00;0,00;4,00;5,00;5,00;0,00;5,00;4,75;5,00;1,00
4,00;3,80;3,20;3,60;36,00;0,00;0,00;;;;0,00;4,00;3,55;3,40;2,00
4,50;5,00;4,50;4,50;31,00;0,00;0,00;3,00;4,00;4,00;0,00;4,50;4,63;3,50;1,00
3,00;4,50;3,50;2,50;31,00;0,00;0,00;5,00;4,00;4,00;0,00;5,00;3,38;3,50;2,00
2,50;3,50;3,50;3,50;44,00;0,00;0,00;5,00;5,00;4,00;0,00;3,00;3,25;3,50;2,00
3,00;2,00;2,00;3,00;33,00;0,00;0,00;;;;0,00;2,00;2,50;1,00;1,00
3,50;3,00;3,00;3,50;31,00;0,00;0,00;;;;0,00;5,00;3,25;1,00;2,00
3,75;3,86;3,38;3,86;32,00;0,00;0,00;;;;0,00;4,86;3,66;3,00;2,00
4,50;3,50;3,00;4,50;40,00;0,00;0,00;;;;0,00;5,00;3,88;4,00;1,00
2,00;2,00;1,50;2,00;33,00;0,00;0,00;4,00;2,00;3,00;0,00;3,00;1,88;1,00;2,00
3,17;3,17;3,00;3,67;36,00;0,00;0,00;4,00;4,00;4,00;0,00;4,50;3,25;3,00;2,00
4,33;4,33;4,00;4,33;37,00;0,00;0,00;;;;0,00;3,50;4,25;3,50;1,00
4,67;4,33;4,67;4,33;47,00;0,00;0,00;5,00;5,00;4,00;0,00;4,67;4,50;4,00;2,00
4,00;3,00;5,00;5,00;39,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;4,25;3,00;2,00
3,50;3,00;3,50;;37,00;0,00;0,00;1,00;5,00;5,00;0,00;3,00;3,33;;2,00
4,33;4,17;4,50;4,60;36,00;0,00;0,00;5,00;4,00;4,00;0,00;4,00;4,39;3,40;2,00
4,00;4,50;3,50;4,50;32,00;0,00;0,00;5,00;3,00;4,00;0,00;4,50;4,08;3,50;2,00
3,00;3,50;3,50;3,50;38,00;0,00;0,00;;;;0,00;3,50;3,38;2,00;1,00
4,50;5,00;4,50;5,00;43,00;1,00;9,00;4,00;4,00;4,00;0,00;4,00;4,75;5,00;2,00
3,30;4,00;3,20;3,00;39,00;0,00;0,00;5,00;5,00;5,00;0,00;3,80;3,44;3,00;2,00
3,00;3,00;4,00;3,00;38,00;0,00;0,00;;;;0,00;4,00;3,25;4,00;1,00
3,00;4,00;4,50;4,00;34,00;0,00;0,00;;;;0,00;4,50;3,79;3,00;2,00
3,50;3,67;3,75;3,50;42,00;0,00;0,00;;;;0,00;4,00;3,63;3,75;2,00
2,80;3,20;2,40;3,20;43,00;0,00;0,00;4,00;5,00;4,00;0,00;3,40;2,90;2,60;1,00
2,33;3,50;2,67;3,50;31,00;0,00;0,00;3,00;3,00;4,00;0,00;2,67;2,58;1,67;2,00
4,00;4,00;3,80;4,20;44,00;0,00;0,00;4,00;5,00;4,00;0,00;3,80;4,00;3,20;1,00
4,00;4,00;4,00;4,00;28,00;0,00;0,00;;;;0,00;4,33;4,00;2,67;2,00
3,57;4,50;3,67;3,83;55,00;0,00;0,00;4,00;4,00;2,00;0,00;3,83;3,79;3,25;1,00
4,00;4,00;4,00;3,00;33,00;0,00;0,00;;;;0,00;3,00;3,75;3,00;2,00
3,60;3,33;3,33;2,00;35,00;0,00;0,00;;;;0,00;4,00;3,31;3,50;2,00
3,00;3,50;4,00;4,00;28,00;0,00;0,00;;;;0,00;4,00;3,50;3,00;2,00
4,00;4,33;4,17;3,75;;;;;;;;4,40;4,11;3,00;
4,67;4,67;5,00;4,67;49,00;0,00;0,00;5,00;4,00;5,00;0,00;4,67;4,75;4,00;2,00
5,00;5,00;5,00;5,00;43,00;0,00;0,00;4,00;4,00;4,00;0,00;5,00;5,00;4,00;1,00
4,50;4,67;4,33;4,33;46,00;0,00;0,00;3,00;5,00;5,00;0,00;5,00;4,42;3,67;2,00
3,50;4,00;3,50;4,50;45,00;0,00;0,00;4,00;4,00;5,00;0,00;4,50;3,88;3,00;2,00
3,00;3,00;4,00;2,00;34,00;0,00;0,00;;;;0,00;4,00;3,00;5,00;1,00
4,00;4,00;5,00;4,00;32,00;0,00;0,00;5,00;5,00;4,00;0,00;3,00;4,25;3,00;2,00
2,60;3,40;3,40;2,80;33,00;0,00;0,00;5,00;5,00;5,00;0,00;3,60;3,05;3,20;2,00
4,00;4,00;4,00;;36,00;1,00;14,00;;;;0,00;;4,00;;2,00
4,67;4,67;4,33;4,67;34,00;0,00;0,00;;;;0,00;4,67;4,58;3,67;2,00
3,75;3,50;4,00;3,25;30,00;0,00;0,00;;;;0,00;3,75;3,63;3,00;1,00
4,00;3,75;3,67;4,00;36,00;0,00;0,00;;;;0,00;4,25;3,94;4,00;2,00
1,00;;1,00;1,00;31,00;0,00;0,00;4,00;4,00;5,00;0,00;4,00;1,00;1,00;2,00
4,00;4,50;4,33;4,33;39,00;0,00;0,00;;;;0,00;4,00;4,29;3,00;2,00
4,57;4,43;3,57;4,80;29,00;0,00;0,00;;;;0,00;4,40;4,30;3,33;2,00
4,00;4,00;5,00;4,00;34,00;0,00;0,00;2,00;4,00;4,00;0,00;5,00;4,25;3,00;2,00
4,00;4,33;3,67;3,67;43,00;0,00;0,00;4,00;3,00;4,00;0,00;3,00;3,92;3,00;2,00
4,00;4,00;4,00;4,00;37,00;0,00;0,00;5,00;3,00;5,00;0,00;5,00;4,00;3,00;2,00
4,00;3,50;4,00;3,50;;;;;;;;4,00;3,75;3,00;
4,00;4,50;4,00;4,50;;;;;;;;3,00;4,25;;
2,17;2,80;2,17;2,67;;;;;;;;3,00;2,35;2,33;
4,77;4,50;4,57;4,36;;;;;;;;4,45;4,56;3,20;
4,00;4,00;4,00;;;;;;;;;;4,00;;
3,00;4,00;3,00;3,00;;;;;;;;4,00;3,25;4,00;
3,00;3,00;3,00;2,50;;;;;;;;3,50;2,88;2,50;
5,00;5,00;5,00;5,00;;;;;;;;5,00;5,00;3,00;
4,00;4,00;4,00;;;;;;;;;;4,00;;
4,50;4,50;4,00;5,00;;;;;;;;5,00;4,38;3,00;
4,50;4,00;4,00;5,00;;;;;;;;4,00;4,17;3,00;
3,20;3,40;3,40;3,40;;;;;;;;3,20;3,35;3,00;
3,00;3,25;3,33;3,25;;;;;;;;5,00;3,25;3,25;
4,00;4,00;4,00;1,00;;;;;;;;5,00;3,25;3,00;
2,00;3,20;2,60;3,33;27,00;0,00;0,00;;;;0,00;2,80;2,68;2,75;2,00
3,50;3,50;3,00;5,00;;;;;;;;4,50;3,50;3,00;
2,00;4,00;2,00;2,00;;;;;;;;4,00;2,50;3,00;
4,00;4,50;3,50;4,00;;;;;;;;4,00;4,00;3,00;
3,00;3,00;3,00;3,00;;;;;;;;5,00;3,00;3,00;
3,00;4,00;3,00;3,00;;;;;;;;3,00;3,25;3,00;
3,17;3,50;3,50;4,00;;;;;;;;4,33;3,54;3,00;
4,00;4,00;3,00;4,00;;;;;;;;4,00;3,75;3,00;
4,00;4,00;3,00;3,00;;;;;;;;4,00;3,50;3,00;
4,00;5,00;5,00;4,00;;;;;;;;4,00;4,50;3,00;
4,67;4,67;4,67;5,00;;;;;;;;5,00;4,67;3,00;
5,00;5,00;4,00;;;;;;;;;;4,67;;
4,00;5,00;;5,00;;;;;;;;4,00;4,67;3,00;
4,50;4,50;4,00;4,50;;;;;;;;4,25;4,38;3,00;
3,17;3,40;2,67;3,17;;;;;;;;3,33;3,04;2,33;
3,00;3,50;3,50;3,50;;;;;;;;4,00;3,38;2,50;
3,40;4,20;3,80;4,40;;;;;;;;4,50;3,95;3,17;
3,00;2,00;;3,00;;;;;;;;2,00;2,67;3,00;
3,80;3,80;3,75;4,00;;;;;;;;4,00;3,90;3,17;
3,50;3,50;3,50;3,50;;;;;;;;4,00;3,50;3,00;
3,33;3,67;3,00;4,00;;;;;;;;3,00;3,31;2,33;
4,25;4,50;4,00;4,00;;;;;;;;3,50;4,25;3,00;
4,00;4,50;4,50;4,50;;;;;;;;3,50;4,38;3,00;
3,00;3,00;4,00;3,00;;;;;;;;4,00;3,25;;
4,00;4,67;4,00;3,67;;;;;;;;4,67;4,08;2,33;
1,00;1,00;1,00;;;;;;;;;1,00;1,00;1,00;
1,00;1,00;1,00;4,00;;;;;;;;2,00;1,75;3,00;
3,00;3,56;3,11;3,25;48,00;0,00;0,00;4,00;3,00;4,00;0,00;3,50;3,20;3,50;2,00
3,00;3,50;2,50;4,00;46,00;1,00;14,00;2,00;4,00;4,00;0,00;2,00;3,08;3,00;2,00
